2026-09-03 09:30:00.290161 | admin | Confidential Security Report | GRANTED
2026-09-03 09:31:06.778036 | student | Confidential Security Report | DENIED
2026-09-10 17:32:13.712130 | Attempt: 3 | student | Confidential Security Report | DENIED
2026-09-10 17:35:31.375518 | Attempt: 1 | analyst | Confidential Security Report | DENIED
2026-09-10 17:35:42.359886 | Attempt: 2 | analyst | Confidential Security Report | DENIED
2026-09-10 17:35:55.223379 | Attempt: 3 | analyst | Confidential Security Report | DENIED
2026-09-14 16:32:50.332315 | Attempt: 1 | analyst | Confidential Security Report | DENIED
2026-09-14 16:34:04.203951 | Attempt: 2 | clear | Confidential Security Report | DENIED
2026-09-14 16:34:05.540423 | Attempt: 3 | dasd | Confidential Security Report | DENIED
2026-09-14 16:36:26.011966 | Attempt: 1 | analyst  | Confidential Security Report | DENIED
2026-09-14 16:36:50.619872 | Attempt: 2 | analyst | Confidential Security Report | GRANTED
2026-09-14 16:45:48.171193 | Attempt: 1 | ada | Confidential Security Report | DENIED
2026-09-14 16:45:48.514747 | Attempt: 2 | ad | Confidential Security Report | DENIED
2026-09-14 16:45:50.994855 | Attempt: 3 | ad | Confidential Security Report | DENIED
2026-09-14 16:45:59.042891 | Attempt: 1 | ad | Confidential Security Report | DENIED
2026-09-14 16:45:59.386432 | Attempt: 2 | dsa | Confidential Security Report | DENIED
2026-09-14 16:46:06.258724 | Attempt: 3 | s | Confidential Security Report | DENIED
2026-09-14 16:46:30.914933 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-14 16:47:04.082797 | Attempt: 1 | analyst | Confidential Security Report | GRANTED
2026-09-14 16:47:20.482707 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-14 16:47:37.338434 | Attempt: 2 | admin | Confidential Security Report | DENIED
2026-09-14 16:47:54.995092 | Attempt: 3 | dada | Confidential Security Report | DENIED
2026-09-14 16:49:46.970477 | Attempt: 1 | admin | Confidential Security Report | DENIED
2026-09-14 16:49:49.178390 | Attempt: 2 | admin | Confidential Security Report | DENIED
2026-09-14 16:49:51.978421 | Attempt: 3 | admin | Confidential Security Report | DENIED
2026-09-14 16:51:04.378251 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-14 17:07:36.752882 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-14 17:08:15.448725 | Attempt: 2 | admin | Confidential Security Report | DENIED
2026-09-14 17:08:17.640618 | Attempt: 3 | admin | Confidential Security Report | DENIED
2026-09-14 17:08:57.480339 | Attempt: 1 | admin | Confidential Security Report | DENIED
2026-09-14 17:09:01.304223 | Attempt: 2 | admin | Confidential Security Report | DENIED
2026-09-14 17:09:03.824250 | Attempt: 3 | admin | Confidential Security Report | DENIED
